Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,18,"State Public Charter School Authority ",58427.1,Pinecrest St Rose ES,Regular,87,5,NO,81.3,78.7,41.3,YES,YES,72.9,68.9,73.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58427.2,Pinecrest St Rose MS,Regular,95.5,5,NO,79.7,62.7,74.3,YES,YES,78.9,61,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58428.1,Pinecrest Sloan ES,Regular,83,4,NO,79.4,77.5,49.3,YES,YES,70.7,68.5,38.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58428.2,Pinecrest Sloan MS,Regular,77,4,NO,74,63.5,59,YES,YES,70.7,59.3,18.1,>95,N/A,N/A,N/A,N/A,N/A,N/A,6.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58428.3,Pinecrest Sloan HS,Regular,96.5,5,NO,81.5,48.3,45.9,YES,YES,N/A,N/A,21.4,N/A,99.3,92.1,85.7,66.4,>95,>95,9.7,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58429.2,Pinecrest Virtual MS,Regular,50,3,YES,54.9,32.3,39.1,YES,YES,47.3,31.5,-,85.1,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58429.3,Pinecrest Virtual HS,Regular,66.4,3,YES,61.1,16.6,38.4,YES,YES,N/A,N/A,-,N/A,76.4,33.3,25,50,93.3,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",58430.1,Pinecrest Springs ES,Regular,85,5,YES,64.3,62.2,17.3,YES,YES,64.8,49.4,64.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",59119.1,Somerset NLV ES,Regular,69.5,4,YES,59.1,52.5,19.5,YES,YES,61.8,43.3,57.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",59120.1,Somerset Losee ES,Regular,59,3,YES,57.2,44.2,18.6,YES,YES,56.1,37.6,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,NO,N/A,NO,NO,N/A,NO,N/A
