Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,16,Washoe,16610.3,enCompass CS HS,Regular,48.3,2,YES,34.2,20,<5,YES,YES,N/A,N/A,N/A,N/A,100,<5,<4.5,38,91.3,73.9,40.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16611.3,Arts Careers Tech HS,Regular,93.3,5,NO,73.9,40.2,46.1,YES,YES,N/A,N/A,-,N/A,98.8,>95,>95,77.8,>95,>95,15.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16911.1,Picollo K 12 ES,Special Education,3.3,1,YES,-,-,-,YES,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.5,NO,N/A,NO,NO,N/A,YES,4
2026,16,Washoe,16911.2,Picollo K 12 MS,Special Education,21.6,1,YES,<5,<5,-,NO,NO,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,25,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16911.3,Picollo K 12 HS,Special Education,6,1,YES,<5,<5,-,NO,NO,N/A,N/A,N/A,N/A,-,-,-,N/A,<5,-,24.1,NO,N/A,NO,NO,N/A,YES,4
2026,16,Washoe,16917.2,Turning Point MS,Alternative,4,Not Rated,YES,-,-,-,YES,NO,-,-,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,-,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16917.3,Turning Point HS,Alternative,0,Not Rated,YES,-,-,N/A,YES,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,40,-,-,NO,N/A,NO,NO,N/A,YES,7
2026,16,Washoe,16923.1,North Star Online ES,Alternative,23.8,1,NO,37.7,24.5,15.7,YES,YES,40.5,16.6,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16923.2,North Star Online MS,Alternative,34.4,2,NO,40.7,16.6,38.9,NO,NO,43.7,17.4,-,81.5,N/A,N/A,N/A,N/A,N/A,N/A,10.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16923.3,North Star Online HS,Alternative,32,2,NO,24.3,5,16.9,NO,NO,N/A,N/A,10,N/A,74.6,35.7,18.3,22.9,80,86.9,31.7,NO,N/A,NO,NO,N/A,NO,N/A
