school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment,enrollment_share,school_count,data_status
2022-23,ES,Not Rated,Not Rated,270.0,0.007903518529360108,3,modern_reporting
2022-23,ES,Collapsed,1-2,13006.0,0.38071541478836135,29,modern_reporting
2022-23,ES,Collapsed,3,7510.0,0.21983490427960892,14,modern_reporting
2022-23,ES,Collapsed,4-5,13376.0,0.39154616240266965,23,modern_reporting
2022-23,ES,Collapsed,Not Rated,270.0,0.007903518529360108,3,modern_reporting
2022-23,HS,1,1-2,1380.0,0.09181636726546906,3,modern_reporting
2022-23,HS,2,1-2,0.0,0.0,0,modern_reporting
2022-23,HS,3,3,6059.0,0.40312707917498336,8,modern_reporting
2022-23,HS,4,4-5,2668.0,0.17751164337990685,7,modern_reporting
2022-23,HS,5,4-5,3423.0,0.2277445109780439,13,modern_reporting
2022-23,HS,Not Rated,Not Rated,1500.0,0.0998003992015968,8,modern_reporting
2022-23,HS,Collapsed,1-2,1380.0,0.09181636726546906,3,modern_reporting
2022-23,HS,Collapsed,3,6059.0,0.40312707917498336,8,modern_reporting
2022-23,HS,Collapsed,4-5,6091.0,0.40525615435795076,20,modern_reporting
2022-23,HS,Collapsed,Not Rated,1500.0,0.0998003992015968,8,modern_reporting
2022-23,MS,1,1-2,722.0,0.038062101323211556,3,modern_reporting
2022-23,MS,2,1-2,3583.0,0.18888713163582688,14,modern_reporting
2022-23,MS,3,3,5918.0,0.31198270862986976,19,modern_reporting
2022-23,MS,4,4-5,3125.0,0.16474247456376193,8,modern_reporting
2022-23,MS,5,4-5,5621.0,0.2963255838473299,19,modern_reporting
2022-23,MS,Not Rated,Not Rated,0.0,0.0,0,modern_reporting
2022-23,MS,Collapsed,1-2,4305.0,0.22694923295903843,17,modern_reporting
2022-23,MS,Collapsed,3,5918.0,0.31198270862986976,19,modern_reporting
2022-23,MS,Collapsed,4-5,8746.0,0.4610680584110918,27,modern_reporting
2022-23,MS,Collapsed,Not Rated,0.0,0.0,0,modern_reporting
2023-24,ES,1,1-2,6390.0,0.18214468958440225,19,modern_reporting
2023-24,ES,2,1-2,6032.0,0.17194002622427457,11,modern_reporting
